code,name,cur_price,off_52w_high_pct,market_val,volume_20d,change_rate_15d
SECZ,Securitize,16.53,-0.181,2698781773.05,82333067.0,153.917
P,Everpure,121.88,-7.252,40613737351.88,148208018.0,31.861
CAI,Caris Life Sciences,32.27,-4.115,9119346652.22,115070400.0,30.12
SEI,Solaris Energy Infrastructure,70.1,-18.508,5367304079.2,55200852.0,33.101
TEM,Tempus AI,82.24,-21.165,14838954333.44,139671026.0,32.773
RBRK,Rubrik,113.8,-1.997,23591244475.4,79735817.0,30.534
META,Meta Platforms,777.59,-0.285,1980915365497.75,448025402.0,31.264
ACVA,ACV Auctions,10.46,-0.38,1776191470.8,276087886.0,54.505
DOCN,DigitalOcean,141.57,-24.496,16645736893.5,57170839.0,34.995
SDGR,Schrodinger,29.45,-6.788,2203025744.6,43051938.0,41.044
TXG,10x Genomics,84.11,-2.118,10958790140.48,55270571.0,36.431
NET,Cloudflare,358.82,-2.343,127768523336.3,65237554.0,31.561
FSLY,Fastly,26.68,-23.377,4250124000.0,158206092.0,30.592
TWLO,Twilio,299.66,-1.67,46020350425.2,44261132.0,32.154
AMD,Advanced Micro Devices,629.26,-0.244,1027251244928.92,431355713.0,37.675
SMTC,Semtech,174.5,-8.466,16285321737.0,66530115.0,30.369
INTC,Intel,127.39,-10.509,669242162947.96,2117095059.0,41.465
CLS,Celestica,373.56,-21.194,46567804687.8,45146399.0,34.485
GME,GameStop,25.02,-10.96,12622614769.8,187228071.0,31.892
